service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20230904,20231231
1,1,1,1,1,1,0,0,20230904,20231231
101,0,0,0,0,0,0,0,20230904,20231231
1101,0,0,0,0,0,0,0,20230904,20231231
1201,0,0,0,0,0,0,0,20230904,20231231
152201,0,0,0,0,0,0,0,20230904,20231231
152301,0,0,0,0,0,0,0,20230904,20231231
155601,0,0,0,0,0,0,0,20230904,20231231
162503,0,0,0,0,0,0,0,20230904,20231231
162601,0,0,0,0,0,0,0,20230904,20231231
169801,0,0,0,0,0,0,0,20230904,20231231
1803,0,0,0,0,0,0,0,20230904,20231231
1901,0,0,0,0,0,0,0,20230904,20231231
2,0,0,0,0,0,1,0,20230904,20231231
2001,0,0,0,0,0,0,0,20230904,20231231
201,0,0,0,0,0,0,0,20230904,20231231
253403,0,0,0,0,0,0,0,20230904,20231231
259701,0,0,0,0,0,0,0,20230904,20231231
259702,0,0,0,0,0,0,0,20230904,20231231
259703,0,0,0,0,0,0,0,20230904,20231231
259801,0,0,0,0,0,0,0,20230904,20231231
259802,0,0,0,0,0,0,0,20230904,20231231
259803,0,0,0,0,0,0,0,20230904,20231231
3,0,0,0,0,0,0,1,20230904,20231231
32603,0,0,0,0,0,0,0,20230904,20231231
401,0,0,0,0,0,0,0,20230904,20231231
59001,0,0,0,0,0,0,0,20230904,20231231
59101,0,0,0,0,0,0,0,20230904,20231231
62101,0,0,0,0,0,0,0,20230904,20231231
62201,0,0,0,0,0,0,0,20230904,20231231
63901,0,0,0,0,0,0,0,20230904,20231231
701,0,0,0,0,0,0,0,20230904,20231231
75301,0,0,0,0,0,0,0,20230904,20231231
75401,0,0,0,0,0,0,0,20230904,20231231
801,0,0,0,0,0,0,0,20230904,20231231
92402,0,0,0,0,0,0,0,20230904,20231231
